time,x,y,velocity,acceleration
1472.0480276819583,-657375.324655535,6739013.183138893,7672.490413285452,8.694005190067507
1482.0480276819583,-733693.9359988368,6731131.7182376105,7672.490413285447,8.694005190067486
1492.0480276819583,-809918.3416024403,6722385.981176768,7672.490413285442,8.694005190067465
1502.0480276819583,-886038.7543110205,6712777.094902309,7672.490413285436,8.694005190067443
1512.0480276819583,-962045.4003218599,6702306.293187873,7672.490413285432,8.694005190067424
1522.0480276819583,-1037928.520439798,6690974.920476387,7672.490413285425,8.694005190067394
1532.0480276819583,-1113678.3713303048,6678784.431707431,7672.490413285419,8.694005190067374
1542.0480276819583,-1189285.2267705163,6665736.39213043,7672.490413285413,8.694005190067346
1552.0480276819583,-1264739.3788980755,6651832.477103678,7672.490413285405,8.69400519006732
1562.0480276819583,-1340031.1394576137,6637074.471879219,7672.490413285399,8.694005190067294
1572.0480276819583,-1415150.8410447151,6621464.271373626,7672.490413285391,8.69400519006727
1582.0480276819583,-1490088.8383472045,6605003.879924693,7672.4904132853835,8.694005190067239
1592.0480276819583,-1564835.5093835972,6587695.411034082,7672.490413285375,8.69400519006721
1602.0480276819583,-1639381.256738555,6569541.087095947,7672.490413285367,8.694005190067177
1612.0480276819583,-1713716.5087951864,6550543.239111584,7672.490413285359,8.694005190067152
1622.0480276819583,-1787831.7209640355,6530704.306390129,7672.490413285351,8.69400519006712
1632.0480276819583,-1861717.376908599,6510026.8362353565,7672.490413285341,8.694005190067092
1642.0480276819583,-1935363.9897672173,6488513.483618605,7672.490413285333,8.694005190067061
1652.0480276819583,-2008762.1033711801,6466167.01083788,7672.490413285323,8.694005190067026
1662.0480276819583,-2081902.2934588909,6442990.287163179,7672.490413285313,8.694005190066996
1672.0480276819583,-2154775.1688859356,6418986.288468081,7672.490413285303,8.694005190066962
1682.0480276819583,-2227371.372830897,6394158.0968476385,7672.490413285292,8.694005190066932
1692.0480276819583,-2299681.583996766,6368508.900222651,7672.490413285281,8.694005190066896
1702.0480276819583,-2371696.517807786,6342041.991930327,7672.49041328527,8.694005190066864
1712.0480276819583,-2443406.927601587,6314760.770301432,7672.490413285259,8.694005190066823
1722.0480276819583,-2514803.60581645,6286668.738223936,7672.490413285248,8.694005190066788
1732.0480276819583,-2585877.3851735503,6257769.502693253,7672.490413285236,8.69400519006675
1742.0480276819583,-2656619.1398540298,6228066.774349099,7672.490413285223,8.694005190066715
1752.0480276819583,-2727019.786670744,6197564.366999056,7672.490413285212,8.694005190066672
1762.0480276819583,-2797070.2862345376,6166266.197128876,7672.490413285198,8.694005190066635
1772.0480276819583,-2866761.644114894,6134176.28339961,7672.490413285185,8.694005190066594
1782.0480276819583,-2936084.911994814,6101298.746131614,7672.490413285172,8.694005190066553
1792.0480276819583,-3005031.188819773,6067637.806775503,7672.490413285158,8.69400519006651
1802.0480276819583,-3073591.6219406086,6033197.787370121,7672.490413285144,8.694005190066473
1812.0480276819583,-3141757.408250195,5997983.109987595,7672.490413285131,8.694005190066429
1822.0480276819583,-3209519.795313755,5961998.296165542,7672.490413285116,8.694005190066386
1832.0480276819583,-3276870.082492666,5925247.966326507,7672.490413285102,8.694005190066342
1842.0480276819583,-3343799.6220616135,5887736.839184708,7672.490413285086,8.6940051900663
1852.0480276819583,-3410299.820318956,5849469.7311401535,7672.490413285072,8.694005190066257
1862.0480276819583,-3476362.138690147,5810451.55566022,7672.490413285056,8.694005190066212
1872.0480276819583,-3541978.0948240818,5770687.322648768,7672.490413285041,8.694005190066164
1882.0480276819583,-3607139.2636822257,5730182.137802876,7672.490413285024,8.694005190066122
1892.0480276819583,-3671837.278620382,5688941.201957268,7672.490413285008,8.694005190066076
1902.0480276819583,-3736063.832462962,5646969.810416535,7672.4904132849915,8.694005190066024
1912.0480276819583,-3799810.678569622,5604273.352275218,7672.490413284975,8.694005190065974
1922.0480276819583,-3863069.6318941233,5560857.309725857,7672.490413284958,8.694005190065926
1932.0480276819583,-3925832.5700352876,5516727.257355078,7672.4904132849415,8.69400519006588
1942.0480276819583,-3988091.434279906,5471888.861427821,7672.490413284923,8.694005190065829
1952.0480276819583,-4049838.2306374726,5426347.879159797,7672.490413284906,8.694005190065779
1962.0480276819583,-4111065.030866605,5380110.157978265,7672.490413284888,8.69400519006573
1972.0480276819583,-4171763.973493027,5333181.634771226,7672.490413284871,8.69400519006568
1982.0480276819583,-4231927.264818974,5285568.335125135,7672.490413284851,8.694005190065626
1992.0480276819583,-4291547.179923898,5237276.372551216,7672.490413284832,8.694005190065567
2002.0480276819583,-4350616.06365634,5188311.947700491,7672.490413284814,8.694005190065518
2012.0480276819583,-4409126.331616852,5138681.347567628,7672.490413284794,8.694005190065466
2022.0480276819583,-4467070.47113182,5088390.944683689,7672.490413284775,8.694005190065406
2032.0480276819583,-4524441.04221809,5037447.196297903,7672.490413284756,8.694005190065356
2042.0480276819583,-4581230.678538254,4985856.643548562,7672.490413284735,8.694005190065301
2052.048027681958,-4637432.088346484,4933625.910623146,7672.490413284715,8.694005190065242
